
0it [00:00, ?it/s]
904it [10:02,  1.04it/s, bound:0 nc: 12 ncall:3.2e+03 eff:27.8% logz-ratio=46.80+/-0.15 dlogz:117.389>0.1]
906it [10:03,  1.12it/s, bound:0 nc:  6 ncall:3.3e+03 eff:27.8% logz-ratio=47.50+/-0.15 dlogz:116.847>0.1]
910it [10:04,  1.38it/s, bound:0 nc:  5 ncall:3.3e+03 eff:27.8% logz-ratio=48.55+/-0.15 dlogz:115.627>0.1]
911it [10:06,  1.09it/s, bound:0 nc: 18 ncall:3.3e+03 eff:27.7% logz-ratio=48.74+/-0.15 dlogz:115.424>0.1]
912it [10:07,  1.06s/it, bound:0 nc: 14 ncall:3.3e+03 eff:27.6% logz-ratio=48.93+/-0.15 dlogz:115.226>0.1]
914it [10:09,  1.05it/s, bound:0 nc: 12 ncall:3.3e+03 eff:27.5% logz-ratio=49.27+/-0.15 dlogz:114.879>0.1]
915it [10:11,  1.51s/it, bound:0 nc: 34 ncall:3.4e+03 eff:27.3% logz-ratio=49.52+/-0.15 dlogz:114.694>0.1]
919it [10:13,  1.16s/it, bound:0 nc: 17 ncall:3.4e+03 eff:27.2% logz-ratio=50.78+/-0.15 dlogz:113.526>0.1]
920it [10:14,  1.24s/it, bound:0 nc:  7 ncall:3.4e+03 eff:27.2% logz-ratio=51.16+/-0.15 dlogz:113.170>0.1]
921it [10:16,  1.30s/it, bound:0 nc: 11 ncall:3.4e+03 eff:27.1% logz-ratio=51.51+/-0.15 dlogz:112.795>0.1]
922it [10:17,  1.32s/it, bound:0 nc: 20 ncall:3.4e+03 eff:27.0% logz-ratio=52.01+/-0.16 dlogz:112.438>0.1]
925it [10:18,  1.07s/it, bound:0 nc: 13 ncall:3.4e+03 eff:27.0% logz-ratio=53.07+/-0.16 dlogz:111.150>0.1]
927it [10:20,  1.05it/s, bound:0 nc:  7 ncall:3.4e+03 eff:26.9% logz-ratio=53.52+/-0.15 dlogz:110.624>0.1]
930it [10:21,  1.23it/s, bound:0 nc:  4 ncall:3.5e+03 eff:26.9% logz-ratio=54.05+/-0.15 dlogz:110.064>0.1]
932it [10:23,  1.29it/s, bound:0 nc:  2 ncall:3.5e+03 eff:26.8% logz-ratio=54.43+/-0.15 dlogz:109.698>0.1]
